Week,Class number,Date,Project,Class Type,Class Description,Assignment,Activities,What to bring,Link to Page
4,7,W - September 24,Workshop 2,Introduction & Dev Day,Intro to Worskshop 2 & P5.js,https://canvascloud.ocadu.ca/courses/12214/assignments/103715,Relearning your phone as a creative tool,"Laptop,Phone",https://canvascloud.ocadu.ca/courses/12214/pages/class-7-w-september-24
,8,F - September 26,Workshop 2,Dev Day,"Creating your coding environment : P5.js, VsCode, and Github Copilot",https://canvascloud.ocadu.ca/courses/12214/assignments/103716,Interaction Planning,,https://canvascloud.ocadu.ca/courses/12214/pages/class-8-f-september-26
5,9,W - October 1,Workshop 2,Dev Day,"More Coding Basics, Working with Gifs",https://canvascloud.ocadu.ca/courses/12214/assignments/103717,Interacting with Gifs,,https://canvascloud.ocadu.ca/courses/12214/pages/class-9-w-october-1
,10,F - October 3,Workshop 2,Dev Day,Bringing It Together - Input & Output,https://canvascloud.ocadu.ca/courses/12214/assignments/104678,Working Version,,https://canvascloud.ocadu.ca/courses/12214/pages/class-10-f-october-3
6,11,W - October 8,Workshop 2,Playtesting ,,https://canvascloud.ocadu.ca/courses/12214/assignments/103760,Final touches and then Playtesting in Groups,,https://canvascloud.ocadu.ca/courses/12214/pages/class-11-w-october-8
,12,F - October 10,Workshop 2,Flexible Work Session,No formal class. Work Wherever you like,NONE,,,https://canvascloud.ocadu.ca/courses/12214/pages/class-12-f-october-10
,,T - October 21,Workshop 2,Documentation Due,,https://canvascloud.ocadu.ca/courses/12214/assignments/103758,,,
